Folio,Periodo,Genero,Region,Campus,Escuela,Programa_Ini,PrepaTEC,PAA,PNA,Edad,P_Beca,P_Prestamo,Life,PI,Experiencia,TOEFL,Promedio_Gr,Sueldo_Nominal,Sueldo_Real,,
CCM05LAF3886,AD20,Femenino,RCM,CCM,EN,LAF,NO,1239,85,24,0.00,0.00,Si,SI,Sí,603,93051,23000,23000,,
CCM05LAE3587,AD20,Masculino,RCM,CCM,EN,LAE,NO,1252,76,23,0.00,0.00,No,SI,Sí,550,92315,13500,13500,,
CCMQLAF171,AD20,Femenino,RCM,CCM,EN,LAF,NO,,,26,0.00,,No,SI,Sí,590,90903,22000,22000,,
CCM05LEF3888,AD20,Masculino,RCM,CCM,ECSG,LEF,NO,1522,100,29,0.35,0.25,No,NO,No,550,95,24000,24000,,
QRO05ARQ2806,AD20,Femenino,RCS,QRO,EAAD,ARQ,NO,1497,98,24,0.60,0.20,No,NO,Sí,600,91898,12000,12000,,
QRO05LAF2813,AD20,Masculino,RCS,QRO,EN,LAF,NO,1485,91,25,0.50,0.20,No,NO,Sí,550,87466,28000,28000,,
QRO05IMT2810,AD20,Masculino,RCS,QRO,EIC,IMT,NO,1541,95,24,0.80,0.00,No,SI,Sí,600,94.6,28000,28000,,
QRO05IC2818,AD20,Masculino,RCS,QRO,EIC,IC,NO,1331,86,24,0.30,0.30,Si,SI,Sí,550,91507,18000,18000,,
QRO05IIA2821,AD20,Masculino,RCS,QRO,EIC,IIA,NO,1541,99,26,0.60,0.20,Si,NO,Sí,580,95387,14000,14000,,
QRO05IIS2833,AD20,Masculino,RCS,QRO,EIC,IIS,NO,,,26,0.00,0.30,No,NO,Sí,550,82552,0,0,,
QRO05ISC2820,AD20,Femenino,RCS,QRO,EIC,ISC,NO,1529,94,24,0.60,0.00,Si,NO,Sí,550,95683,15000,15000,,
QRO05ARQ2836,AD20,Femenino,RCS,QRO,EAAD,ARQ,NO,1540,92,25,0.60,0.00,Si,NO,Sí,600,94.22,12000,12000,,
QRO05LEM2834,AD20,Femenino,RCS,QRO,EN,LEM,NO,1412,91,24,0.25,0.25,No,NO,Sí,550,94068,11000,11000,,
GDA05IIS4821,AD20,Femenino,RO,GDL,EIC,IIS,NO,1458,90,24,0.00,0.25,No,SI,Sí,550,83742,14000,14000,,
QRO05ISC2839,AD20,Femenino,RCS,QRO,EIC,ISC,NO,1376,90,24,0.40,0.40,Si,NO,Sí,550,92746,0,0,,
QRO05LMC2840,AD20,Femenino,RCS,QRO,EN,LMC,NO,1315,82,25,0.00,0.10,Si,NO,Sí,550,84753,7000,7000,,
QRO05IIS2851,AD20,Femenino,RCS,QRO,EIC,IIS,NO,,,24,0.40,0.40,Si,NO,Sí,550,88823,25000,25000,,
QRO05LAE2850,AD20,Femenino,RCS,QRO,EN,LAE,NO,1317,94,24,0.00,0.00,Si,SI,Sí,550,92301,14000,14000,,
CSF05LAF611,AD20,Masculino,RCM,CSF,EN,LAF,NO,1337,82,25,0.00,0.30,No,SI,Sí,550,91375,45000,45000,,
QRO05ARQ2846,AD20,Femenino,RCS,QRO,EAAD,ARQ,NO,1318,82,25,0.00,0.00,Si,SI,Sí,547,87283,8500,8500,,
QRO05LMC2848,AD20,Femenino,RCS,QRO,EN,LMC,NO,1401,95,25,0.35,0.35,Si,NO,Sí,600,95.05,19680,19680,,
QRO05ARQ2816,AD20,Femenino,RCS,QRO,EAAD,ARQ,NO,1217,85,23,0.30,0.00,No,SI,Sí,550,89112,8000,8000,,
QRO05IIS2845,AD20,Masculino,RCS,QRO,EIC,IIS,NO,1301,78,24,0.00,0.00,No,SI,Sí,550,87353,30000,30000,,
QRO05ARQ2863,AD20,Femenino,RCS,QRO,EAAD,ARQ,NO,1437,87,26,0.15,0.15,Si,NO,Sí,550,92745,10000,10000,,
QRO05IMA2698,AD20,Masculino,RCS,QRO,EIC,IMA,NO,1349,94,24,0.00,0.00,No,NO,Sí,550,89145,28000,28000,,
QRO05ISC2866,AD20,Masculino,RCS,QRO,EIC,ISC,NO,1443,75,25,0.00,0.00,Si,SI,Sí,550,90293,38000,38000,,
QRO05ARQ2868,AD20,Masculino,RCS,QRO,EAAD,ARQ,NO,1481,77,25,0.00,0.00,No,NO,Sí,550,83841,14000,14000,,
QRO05CPF2867,AD20,Femenino,RCS,QRO,EN,LCPF,NO,1313,93,25,0.00,0.00,No,SI,Sí,550,85.55,15000,15000,,
QRO05LAF2854,AD20,Femenino,RCS,QRO,EN,LAF,NO,1318,85,25,0.10,0.00,No,SI,Sí,639,92655,14680,14680,,
QRO05ISC2877,AD20,Masculino,RCS,QRO,EIC,ISC,NO,1336,81,24,0.00,0.00,No,NO,No respuesta,550,86952,23000,23000,,
QRO05LAE2878,AD20,Femenino,RCS,QRO,EN,LAE,NO,1280,95,24,0.10,0.00,Si,SI,Sí,550,91557,50000,50000,,
QRO05LDI2772,AD20,Femenino,RCS,QRO,EAAD,LDI,NO,1497,96,23,0.50,0.00,Si,NO,Sí,550,94614,8673,8673,,
QRO05LDI2885,AD20,Femenino,RCS,QRO,EAAD,LDI,NO,1487,98,24,0.50,0.00,Si,NO,Sí,550,93157,15000,15000,,
QRO05IIS2886,AD20,Masculino,RCS,QRO,EIC,IIS,NO,1569,99,24,0.80,0.00,Si,SI,Sí,550,97196,15000,15000,,
QRO05IIS2890,AD20,Femenino,RCS,QRO,EIC,IIS,NO,1453,96,24,0.40,0.00,Si,SI,Sí,600,96913,22000,22000,,
QRO05IMT2884,AD20,Masculino,RCS,QRO,EIC,IMT,NO,,,23,0.20,0.00,Si,NO,Sí,667,98786,22000,22000,,
QRO05IIS2889,AD20,Masculino,RCS,QRO,EIC,IIS,NO,1442,90,24,0.40,0.00,Si,SI,Sí,603,90633,22000,22000,,
QRO05ISD2883,AD20,Masculino,RCS,QRO,EIC,ISD,NO,1529,92,23,0.50,0.30,Si,NO,Sí,550,92612,11500,11500,,
QRO05LMC2893,AD20,Femenino,RCS,QRO,EN,LMC,NO,1487,96,23,0.50,0.00,Si,SI,Sí,590,95.22,15000,15000,,
QRO05CPF2887,AD20,Femenino,RCS,QRO,EN,LCPF,NO,1412,100,23,0.80,0.10,Si,NO,Sí,550,96.35,9000,9000,,
QRO05LAE2894,AD20,Femenino,RCS,QRO,EN,LAE,NO,,,25,0.55,0.25,No,NO,Sí,550,92362,20100,20100,,
QRO05LAD2896,AD20,Femenino,RCS,QRO,EAAD,LAD,NO,1413,95,23,0.80,0.00,No,NO,No,600,96245,11000,11000,,
QRO05LAE2898,AD20,Femenino,RCS,QRO,EN,LAE,NO,1412,96,23,0.60,0.00,Si,NO,Sí,550,93689,16000,16000,,
QRO05CPF2892,AD20,Femenino,RCS,QRO,EN,LCPF,NO,1383,89,23,0.30,0.40,Si,SI,Sí,593,90035,19000,19000,,
QRO05LAE2830,AD20,Femenino,RCS,QRO,EN,LAE,NO,1201,76,25,0.00,0.00,No,SI,Sí,550,85475,15000,15000,,
QRO05ISD2900,AD20,Masculino,RCS,QRO,EIC,ISD,NO,,,25,0.00,,No,NO,Sí,550,93.14,30000,30000,,
QRO05LAE2904,AD20,Femenino,RCS,QRO,EN,LAE,NO,1496,93,24,0.40,0.00,Si,NO,Sí,537,94.91,22000,22000,,
CCM05IME3754,AD20,Masculino,RCM,CCM,EIC,IME,NO,,,25,0.05,0.15,No,NO,No,550,88603,22000,22000,,
MTY05LAF2129,AD20,Masculino,RM,MTY,EN,LAF,NO,1367,86,24,0.15,0.15,No,NO,No,550,91491,28000,28000,,
PUE05LIN3316,AD20,Masculino,RCS,PUE,EN,LIN,NO,1385,90,24,0.25,0.25,Si,NO,Sí,550,91767,17000,17000,,
CSF05LAF624,AD20,Masculino,RCM,CSF,EN,LAF,NO,1206,93,25,0.00,0.00,No,NO,No,550,88901,0,0,,
PUE05LIN3330,AD20,Masculino,RCS,PUE,EN,LIN,NO,1542,75,24,0.90,0.00,No,NO,Sí,550,91.44,7000,7000,,
CEM05CPF4240,AD20,Masculino,RCM,CEM,EN,LCPF,NO,1441,72,31,0.00,0.30,Si,NO,Sí,537,85786,12000,12000,,
CEM05ISD4282,AD20,Masculino,RCM,CEM,EIC,ISD,NO,1413,90,24,0.40,0.40,No,SI,Sí,560,86567,57000,57000,,
PUE05ITC3335,AD20,Femenino,RCS,PUE,EIC,ITC,NO,,,23,0.00,,Si,NO,Sí,550,89233,36000,36000,,
PUE05LAF3343,AD20,Femenino,RCS,PUE,EN,LAF,NO,1404,97,23,0.50,0.00,No,SI,Sí,550,91017,15000,15000,,
PUE05LDE3346,AD20,Femenino,RCS,PUE,EN,LCDE,NO,,,24,0.00,,Si,NO,No,550,94534,10000,10000,,
PUE05LDE3340,AD20,Femenino,RCS,PUE,EN,LCDE,NO,1480,92,23,0.60,0.00,No,NO,Sí,550,96214,270000,270000,,
PUE05ITC3350,AD20,Masculino,RCS,PUE,EIC,ITC,NO,1523,92,24,0.80,0.00,No,NO,Sí,550,93224,32500,32500,,
PUE05IC3348,AD20,Masculino,RCS,PUE,EIC,IC,NO,1298,88,24,0.00,0.00,No,SI,Sí,550,87.73,15000,15000,,
PUE05LAF3352,AD20,Femenino,RCS,PUE,EN,LAF,NO,1501,94,24,0.20,0.00,Si,SI,Sí,550,92.12,21900,21900,,
PUE05IDA3360,AD20,Masculino,RCS,PUE,EIC,IDA,NO,1505,93,23,0.20,0.00,No,NO,No,550,92783,20000,20000,,
SIN05IIS5014,AD20,Femenino,RO,SIN,EIC,IIS,NO,1453,100,23,0.20,0.00,Si,NO,Sí,550,92492,15000,15000,,
SIN05LMC5015,AD20,Femenino,RO,SIN,EN,LMC,NO,1277,90,23,0.00,0.00,Si,NO,Sí,550,92803,12000,12000,,
SIN05LMC5016,AD20,Femenino,RO,SIN,EN,LMC,NO,1289,82,24,0.00,0.00,No,NO,Sí,550,91709,12000,12000,,
TAM05ITI2371,AD20,Masculino,RCS,TAM,EIC,ITI,SI,1423,76,26,0.15,0.20,No,SI,Sí,647,89576,11000,11000,,
TAM05ITI2392,AD20,Masculino,RCS,TAM,EIC,ITI,SI,1457,92,23,0.60,0.00,Si,SI,Sí,617,89254,11128,11128,,
AGS05LAE295,AD20,Femenino,RO,AGS,EN,LAE,SI,1468,100,23,0.20,0.00,Si,SI,Sí,600,97517,12000,12000,,
CCV05IIS3102,AD20,Masculino,DR,VER,EIC,IIS,SI,1318,90,24,0.50,0.20,Si,NO,Sí,550,88454,20000,20000,,
TAM05IMT4659,AD20,Masculino,RCS,TAM,EIC,IMT,NO,1312,91,25,0.45,0.25,No,NO,Sí,600,80582,20000,20000,,
LAGIIS4662F,AD20,Masculino,RM,LAG,EIC,IIS,NO,1093,82,26,0.00,,No,NO,Sí,550,75128,14500,14500,,
LAFLAF4664F,AD20,Femenino,RM,LAG,EN,LAF,NO,,,24,0.20,,No,SI,Sí,550,90836,24000,24000,,
MTY05ISD4669,AD20,Masculino,RM,MTY,EIC,ISD,NO,1450,82,25,0.00,,No,NO,Sí,583,76177,19000,19000,,
MTY05LPS4674,AD20,Femenino,RM,MTY,EMCS,LPS,NO,1341,99,23,0.25,0.25,Si,NO,Sí,550,96171,14000,14000,,
HER05ARQZ,AD20,Femenino,RO,HER,EAAD,ARQ,SI,,85,25,0.00,0.00,No,SI,Sí,603,91431,12000,12000,,
MTY05LPS4683,AD20,Femenino,RM,MTY,EMCS,LPS,SI,,89,24,0.00,0.00,No,NO,Sí,550,88734,20000,20000,,
HGO05LAEJ,AD20,Masculino,RCS,HGO,EN,LAE,NO,1131,90,25,0.00,0.00,No,SI,No,550,79916,19000,19000,,
MTY05IISA,AD20,Femenino,RM,MTY,EIC,IIS,SI,,84,25,0.10,0.10,No,SI,Sí,567,86796,21500,21500,,
HGO05IISJ,AD20,Masculino,RCS,HGO,EIC,IIS,NO,1269,77,26,0.00,0.00,No,NO,Sí,550,78448,20000,20000,,
CEM05INTS,AD20,Masculino,RCM,CEM,EIC,INT,NO,,73,29,0.00,0.00,No,SI,Sí,550,78447,60000,60000,,
CEM05LCDES,AD20,Masculino,RCM,CEM,EN,LCDE,NO,,7,27,0.00,22655.00,No,SI,Sí,520,73948,19000,19000,,
CEM05LPOS,AD20,Femenino,RCM,CEM,EN,LPO,NO,,88,26,0.00,0.00,No,NO,Sí,550,85852,18000,18000,,
CEM05LINS,AD20,Masculino,RCM,CEM,EN,LIN,NO,1338,91,24,0.00,0.00,No,NO,Sí,550,85048,19000,19000,,
ZAC05LDNI,AD20,Femenino,DR,ZAC,EN,LDN,NO,1298,80,25,0.00,0.20,No,SI,Sí,550,86535,20000,20000,,
CDJIIS1073D,FJ20,Hombre,DR,CDJ,EIC,IIS,NO,1197,83,43,0.00,0.00,No,NO,Sí,580,81,20000,20628,,
AGSIIS0691,FJ20,Hombre,RO,AGS,EIC,IIS,NO,1306,88,,0.00,0.00,No,NO,Sí,520,86,23100,23825,,
HERLAE2203Z,FJ20,Hombre,RO,HER,EN,LAE,NO,1345,77,26,0.00,0.00,No,NO,Sí,,86,9000,9276,,
LEOLAE206L,FJ20,Hombre,RO,LEO,EN,LAE,NO,1268,83,24,0.00,0.00,No,NO,Sí,550,89,20000,20613,,
LAGLAF2173F,FJ20,Hombre,RM,LAG,EN,LAF,NO,1372,79,24,0.00,0.00,No,SI,Sí,550,84,25000,25766,,
LEOIIS178L,FJ20,Hombre,RO,LEO,EIC,IIS,NO,1367,91,24,0.00,0.00,No,SI,Sí,567,83,16000,16427,,
SINLIN1216Y,FJ20,Hombre,RO,SIN,EN,LIN,NO,1311,88,23,0.00,0.00,No,SI,Sí,550,86,20000,20613,,
HERLIN2239Z,FJ20,Hombre,RO,HER,EN,LIN,NO,1499,94,24,0.00,0.00,No,SI,Sí,630,97,15000,15471,,
TOLIMA2988O,FJ20,Hombre,RCS,TOL,EIC,IMA,SI,1386,76,24,0.00,0.40,No,NO,Sí,550,84,14100,14543,,
SLPLAF1304N,FJ20,Hombre,RCS,SLP,EN,LAF,SI,1595,82,23,0.20,0.20,No,NO,Sí,630,86,12000,12368,,
CHIIMA252E,FJ20,Hombre,RO,CHI,EIC,IMA,SI,1178,84,24,0.30,0.30,No,NO,Sí,557,86,10125,10443,,
TOLIDA3117O,FJ20,Hombre,RCS,TOL,EIC,IDA,SI,1444,92,22,0.30,0.30,No,SI,Sí,610,89,19500,20112,,
TOLIMA3007O,FJ20,Hombre,RCS,TOL,EIC,IMA,SI,1387,76,23,0.00,0.00,No,SI,Sí,550,78,12500,12883,,
TOLIMA3057O,FJ20,Hombre,RCS,TOL,EIC,IMA,SI,1299,87,23,0.90,0.00,No,SI,Sí,590,85,17000,17534,,
HERIMT758Z,FJ20,Hombre,RO,HER,EIC,IMT,SI,1194,80,23,0.00,0.00,No,SI,Sí,627,84,15000,15471,,
LEOIMT1284L,FJ20,Hombre,RO,LEO,EIC,IMT,SI,1400,86,23,0.20,0.20,No,SI,Sí,567,90,16500,16941,,
LEOIIS195L,FJ20,Hombre,RO,LEO,EIC,IIS,SI,1392,91,23,0.25,0.25,No,SI,Sí,550,91,18000,18551,,
QROIMT4086M,FJ20,Hombre,RCS,QRO,EIC,IMT,NO,1262,88,23,0.30,0.40,No,NO,No,550,92,11000,11345,,
QROISC145M,FJ20,Hombre,RCS,QRO,EIC,ISC,NO,,,,0.00,0.00,No,NO,No,550,,20000,20628,,
PUELAF1365PUE,FJ20,Hombre,RCS,PUE,EN,LAF,NO,1412,74,,0.00,0.00,No,NO,No,550,83,13500,13924,,
CCMIIS2905Q,FJ20,Hombre,RCM,CCM,EIC,IIS,NO,1434,60,25,0.00,0.00,No,SI,No,603,76,15000,15401,,
CSFIIS9482,FJ20,Hombre,RCM,CSF,EIC,IIS,NO,1335,79,24,0.00,0.00,No,SI,No,600,87,1000000,1030628,,
QROIMA4114M,FJ20,Hombre,RCS,QRO,EIC,IMA,NO,1284,88,23,0.00,0.00,No,SI,No,550,87,21000,21659,,
GDLLAF1106W,FJ20,Hombre,RO,GDA,EN,LAF,NO,1419,86,22,0.00,0.00,No,SI,No,570,81,12000,12368,,
CCMLEM3103Q,FJ20,Hombre,RCM,CCM,EN,LEM,SI,1370,94,24,0.30,0.40,No,NO,No,600,90,12000,12377,,
CEMIIS1343S,FJ20,Hombre,RCM,CEM,EIC,IIS,SI,1463,71,24,0.00,0.00,No,SI,No,550,79,10000,10306,,
CEMLAD3316S,FJ20,Hombre,RCM,CEM,EAAD,LAD,NO,,,,0.00,0.00,No,NO,Sí,550,,16000,16502,,
CEMISC3329S,FJ20,Hombre,RCM,CEM,EIC,ISC,NO,1489,79,24,0.00,0.00,No,NO,Sí,553,83,35000,35935,,
CSFITC9522,FJ20,Hombre,RCM,CSF,EIC,ITC,NO,1375,82,22,0.00,0.00,No,NO,Sí,567,85,28500,29395,,
CSFLAF9852,FJ20,Hombre,RCM,CSF,EN,LAF,NO,1320,76,24,0.00,0.00,No,NO,Sí,550,89,30000,30919,,
QROARQ1947M,FJ20,Hombre,RCS,QRO,EAAD,ARQ,NO,,,,0.00,0.00,No,NO,Sí,550,,10000,10736,,
PUEISD2656PUE,FJ20,Hombre,RCS,PUE,EIC,ISD,NO,1497,94,23,0.30,0.00,No,NO,Sí,550,92,29166,30082,,
PUEITC077PUE,FJ20,Hombre,RCS,PUE,EIC,ITC,NO,1338,91,28,0.00,0.00,No,NO,Sí,537,79,70000,72198,,
MTYCPF631A,FJ20,Hombre,RM,MTY,EN,LCPF,NO,1259,87,23,0.00,0.30,No,NO,Sí,550,83,21000,21659,,
GDLITE1181W,FJ20,Hombre,RO,GDA,EIC,ITE,NO,1361,99,23,0.10,0.30,No,NO,Sí,600,87,12000,12377,,
PUEISD2662PUE,FJ20,Hombre,RCS,PUE,EIC,ISD,NO,1530,100,23,0.60,0.20,No,NO,Sí,550,98,25000,25785,,
GDLLAE2095W,FJ20,Hombre,RO,GDA,EN,LAE,NO,1199,83,24,0.00,0.00,No,NO,Sí,550,92,20000,20628,,
CCMLED2863Q,FJ20,Hombre,RCM,CCM,ECSG,LED,NO,1180,94,26,0.00,0.40,No,SI,Sí,550,89,46000,47445,,
CCMISC1151Q,FJ20,Hombre,RCM,CCM,EIC,ISC,NO,1450,90,34,0.15,0.08,No,SI,Sí,549,85,56000,57496,,
CEMIC3328S,FJ20,Hombre,RCM,CEM,EIC,IC,NO,1473,90,25,0.60,0.00,No,SI,Sí,553,89,25000,25668,,
CEMIIS3397S,FJ20,Hombre,RCM,CEM,EIC,IIS,NO,1465,86,23,0.00,0.00,No,SI,Sí,667,86,25000,25785,,
CSFITC9492,FJ20,Hombre,RCM,CSF,EIC,ITC,NO,1415,86,23,0.00,0.00,No,SI,Sí,,93,192580,198479,,
CSFLAF9682,FJ20,Hombre,RCM,CSF,EN,LAF,NO,1297,79,24,0.00,0.00,No,SI,Sí,583,92,30000,30919,,
CSFLIN9502,FJ20,Hombre,RCM,CSF,EN,LIN,NO,1320,75,24,0.00,0.00,No,SI,Sí,593,86,35000,36099,,
QROARQ1949M,FJ20,Hombre,RCS,QRO,EAAD,ARQ,NO,1345,93,25,0.25,0.25,No,SI,Sí,577,91,20000,20628,,
QROIIS4056M,FJ20,Hombre,RCS,QRO,EIC,IIS,NO,1316,92,22,0.45,0.25,No,SI,Sí,550,89,22000,22691,,
QROIIS4036M,FJ20,Hombre,RCS,QRO,EIC,IIS,NO,1370,91,23,0.00,0.00,No,SI,Sí,620,93,20000,20628,,
MTYIBT395A,FJ20,Hombre,RM,MTY,EIC,IBT,NO,1409,76,24,0.00,0.00,No,SI,Sí,550,88,83000,85542,,
MTYIC1451A,FJ20,Hombre,RM,MTY,EIC,IC,NO,1281,81,23,0.00,0.00,No,SI,Sí,550,81,20000,20613,,
GDLIC3814W,FJ20,Hombre,RO,GDA,EIC,IC,NO,1446,81,23,0.05,0.15,No,SI,Sí,570,88,14000,14374,,
GDLLAF2215W,FJ20,Hombre,RO,GDA,EN,LAF,NO,1321,86,23,0.00,0.00,No,SI,Sí,550,83,15000,15471,,
GDLLAF3816W,FJ20,Hombre,RO,GDA,EN,LAF,NO,1161,86,24,0.00,0.00,No,SI,Sí,613,91,23000,23722,,
CSFITC9562,FJ20,Hombre,RCM,CSF,EIC,ITC,NO,1544,90,23,0.00,0.00,No,SI,Sí,663,97,195851,201849,,
CSFLAF9142,FJ20,Hombre,RCM,CSF,EN,LAF,NO,1479,91,24,0.00,0.00,No,SI,Sí,600,96,20000,21471,,
QROARQ4037M,FJ20,Hombre,RCS,QRO,EAAD,ARQ,NO,1588,99,24,0.80,0.00,No,SI,Sí,600,95,10000,10306,,
MTYLAF690A,FJ20,Hombre,RM,MTY,EN,LAF,NO,1519,91,21,0.04,0.00,No,SI,Sí,643,97,21500,22175,,
CCMLCD2825Q,FJ20,Hombre,RCM,CCM,EHE,LCMD,SI,1610,75,23,0.00,0.00,No,NO,Sí,637,88,7000,7214,,
CEMIMT1330S,FJ20,Hombre,RCM,CEM,EIC,IMT,SI,1507,77,25,0.00,0.00,No,NO,Sí,560,75,24000,24641,,
CEMIMT3193S,FJ20,Hombre,RCM,CEM,EIC,IMT,SI,1613,85,23,0.00,0.00,No,NO,Sí,593,82,26000,26817,,
CEMISD3290S,FJ20,Hombre,RCM,CEM,EIC,ISD,SI,1429,89,23,0.20,0.20,No,NO,Sí,617,89,22221,22919,,
CCMLEM2718Q,FJ20,Hombre,RCM,CCM,EN,LEM,SI,1433,78,25,0.00,0.00,No,NO,Sí,623,87,25000,25785,,
CEMLPO3174S,FJ20,Hombre,RCM,CEM,EN,LPO,SI,1294,85,25,0.00,0.00,No,NO,Sí,627,89,31469,32432,,
PUEITC2527PUE,FJ20,Hombre,RCS,PUE,EIC,ITC,SI,1573,88,23,0.30,0.30,No,NO,Sí,550,90,191934,197812,,
QROISD1772M,FJ20,Hombre,RCS,QRO,EIC,ISD,SI,1278,83,24,0.00,0.25,No,NO,Sí,550,84,14000,14374,,
MTYLEC3449A,FJ20,Hombre,RM,MTY,ECSG,LEC,SI,1560,85,23,0.00,0.20,No,NO,Sí,600,83,25500,26281,,
MTYISD173A,FJ20,Hombre,RM,MTY,EIC,ISD,SI,1722,97,23,0.90,0.00,No,NO,Sí,647,94,30000,30942,,
CCMARQ2761Q,FJ20,Hombre,RCM,CCM,EAAD,ARQ,SI,1115,78,24,0.00,0.00,No,SI,Sí,567,81,12000,12377,,
CCMLAF2803Q,FJ20,Hombre,RCM,CCM,EN,LAF,SI,1234,75,23,0.00,0.00,No,SI,Sí,550,87,50000,51336,,
QROLDI1814M,FJ20,Hombre,RCS,QRO,EAAD,LDI,SI,1361,86,23,0.00,0.00,No,SI,Sí,570,85,15000,15401,,
PUEIC2552PUE,FJ20,Hombre,RCS,PUE,EIC,IC,SI,1620,85,23,0.00,0.00,No,SI,Sí,550,87,7000,7214,,
PUEIIS1822PUE,FJ20,Hombre,RCS,PUE,EIC,IIS,SI,1519,88,23,0.15,0.15,No,SI,Sí,607,89,18000,18565,,
MTYIIS1725A,FJ20,Hombre,RM,MTY,EIC,IIS,SI,1487,92,23,0.60,0.00,No,SI,Sí,640,94,25000,25785,,
MTYIQA1005A,FJ20,Hombre,RM,MTY,EIC,IQA,SI,1402,90,27,0.40,0.40,No,SI,Sí,600,93,30000,30919,,
GDLLIN2944W,FJ20,Hombre,RO,GDA,EN,LIN,SI,1460,78,25,0.20,0.20,No,SI,Sí,570,84,15000,15471,,
CCMLRI2820Q,FJ20,Hombre,RCM,CCM,ECSG,LRI,SI,1541,86,23,0.00,0.00,No,SI,Sí,663,95,12000,12368,,
SLPLAE1254N,FJ20,Mujer,RCS,SLP,EN,LAE,NO,1298,88,25,0.00,0.00,No,NO,Sí,550,89,11000,11345,,
SLPLDN1314N,FJ20,Mujer,RCS,SLP,EN,LDN,NO,,,,0.00,0.00,No,NO,Sí,550,,16000,16490,,
SLPIMT724N,FJ20,Mujer,RCS,SLP,EIC,IMT,NO,1518,99,24,0.10,0.10,No,SI,Sí,620,93,15000,15459,,
HERLDI733Z,FJ20,Mujer,RO,HER,EAAD,LDI,NO,1312,93,23,0.00,0.00,No,SI,Sí,550,88,10000,10314,,
AGSLIN5891,FJ20,Mujer,RO,AGS,EN,LIN,NO,1212,82,23,0.20,0.20,No,SI,Sí,550,89,13900,14337,,
CHILAE242E,FJ20,Mujer,RO,CHI,EN,LAE,NO,1255,75,32,0.00,0.00,No,SI,Sí,467,84,35000,35935,,
HERLIN2243Z,FJ20,Mujer,RO,HER,EN,LIN,NO,1310,86,24,0.00,0.00,No,SI,Sí,550,90,11000,11337,,
LEOARQ217L,FJ20,Mujer,RO,LEO,EAAD,ARQ,NO,1259,90,23,0.15,0.15,No,SI,Sí,613,96,,,,
TOLIIS3002O,FJ20,Mujer,RCS,TOL,EIC,IIS,SI,1324,88,23,0.20,0.30,No,NO,Sí,550,88,3000,3094,,
TOLIIS3092O,FJ20,Mujer,RCS,TOL,EIC,IIS,SI,1487,89,23,0.00,0.30,No,SI,Sí,553,88,22114,22705,,
LEOLAF168L,FJ20,Mujer,RO,LEO,EN,LAF,SI,1712,95,24,0.60,0.00,No,SI,Sí,637,95,54317,56023,,
CSFLEF39862,FJ20,Mujer,RCM,CSF,ECSG,LEF,NO,1310,75,24,0.00,0.00,No,NO,No,550,86,15000,15401,,
MTYIBT691A,FJ20,Mujer,RM,MTY,EIC,IBT,NO,1410,92,22,0.00,0.00,No,NO,No,600,90,18000,18481,,
CCMLDI2933Q,FJ20,Mujer,RCM,CCM,EAAD,LDI,NO,1326,80,24,0.00,0.00,No,SI,No,557,88,5800,5982,,
CEMLDI3210S,FJ20,Mujer,RCM,CEM,EAAD,LDI,SI,1470,84,23,0.00,0.00,No,NO,No,537,90,10000,10314,,
GDLARQ748W,FJ20,Mujer,RO,GDA,EAAD,ARQ,SI,1465,95,24,0.20,0.20,No,NO,No,600,93,8000,8214,,
QROLDI1111M,FJ20,Mujer,RCS,QRO,EAAD,LDI,SI,1363,87,24,0.00,0.00,No,SI,No,550,88,8000,8251,,
CCMARQ2279Q,FJ20,Mujer,RCM,CCM,EAAD,ARQ,NO,1096,80,23,0.20,0.20,No,NO,Sí,550,90,12000,12368,,
CEMIQA3340S,FJ20,Mujer,RCM,CEM,EIC,IQA,NO,1206,86,24,0.00,0.25,No,NO,Sí,550,86,14300,14682,,
CCMLIN2866Q,FJ20,Mujer,RCM,CCM,EN,LIN,NO,1298,90,25,0.00,0.00,No,NO,Sí,520,89,10000,10306,,
PUELDE1146PUE,FJ20,Mujer,RCS,PUE,EN,LCDE,NO,,,,0.00,0.00,No,NO,Sí,533,,0,0,,
GDLIMD3874W,FJ20,Mujer,RO,GDA,EIC,IMD,NO,1443,83,24,0.00,0.00,No,NO,Sí,570,90,10000,10306,,
CEMLAE3188S,FJ20,Mujer,RCM,CEM,EN,LAE,NO,1352,96,25,0.10,0.10,No,NO,Sí,550,94,24000,24754,,
GDLLAD2084W,FJ20,Mujer,RO,GDA,EAAD,LAD,NO,1307,90,23,0.25,0.25,No,NO,Sí,550,92,10000,10267,,
CEMARQ1332S,FJ20,Mujer,RCM,CEM,EAAD,ARQ,NO,1477,88,26,0.00,0.00,No,SI,Sí,627,90,18000,18551,,
CEMIC3390S,FJ20,Mujer,RCM,CEM,EIC,IC,NO,1442,98,23,0.04,0.00,No,SI,Sí,550,92,13000,13398,,
CSFLAE9442,FJ20,Mujer,RCM,CSF,EN,LAE,NO,1319,88,23,0.00,0.00,No,SI,Sí,,92,12000,12377,,
CSFLIN9782,FJ20,Mujer,RCM,CSF,EN,LIN,NO,1371,92,23,0.00,0.00,No,SI,Sí,,91,35000,36072,,
CSFLMC9652,FJ20,Mujer,RCM,CSF,EN,LMC,NO,1206,77,25,0.00,0.00,No,SI,Sí,557,92,0,0,,
