Folio,Periodo,Nivel,PrepaTEC,Escuela,Genero,Edad,Foraneo,FGS,Rubrica_CyE,PromMate,Ingles,FTE,P_Beca,P_Prestamo,HijoMilitar,Prog_Lider,Retencion1erA,Prom1erSem,Prom2doSem,Prom1erA
BCEJFBCI,AD19,Profesional,NO,EIC,Masculino,18.62777778,Local,No,34,NA,5,1,0,0,NO,NO,1,62.875,75.42857143,68.90322581
BCEJFBCJ,AD19,Profesional,NO,EN,Masculino,18.16666667,Local,No,24,NA,5,1,0.5,0,NO,NO,1,86,85.9,86.25
BCEJFBDH,AD19,Profesional,NO,EIC,Masculino,18.26111111,SI: Nacional,No,12,NA,6,1,0,0,NO,NO,0,74,38.22222222,54.58333333
BCEJFBDJ,AD19,Profesional,NO,EIC,Masculino,19.36666667,Local,No,25,NA,6,1,0,0,NO,NO,1,89,85.77777778,87.02777778
BCEJFBDK,AD19,Profesional,NO,EIC,Masculino,18.51111111,Local,No,35,NA,6,1,0,0,NO,NO,1,94.125,94.33333333,93.94444444
BCEJFBEB,AD19,Profesional,NO,EIC,Masculino,18.58055556,Local,No,39,NA,1,1,0.7,0,NO,NO,1,76.28571429,73.875,74.75
BCEJFBEC,AD19,Profesional,NO,EN,Femenino,17.13333333,Local,No,33,NA,3,1,0,0,NO,NO,0,93.7,97,95.66666667
BCEJFBEF,AD19,Profesional,NO,EIC,Masculino,17.375,Local,No,24,NA,4,1,0,0,NO,NO,1,81.71428571,76.11111111,77.63888889
BCFBBKCD,AD19,Profesional,NO,EN,Masculino,21.69444444,Local,No,25,NA,3,1,0,0,NO,NO,1,72.22222222,75.8,74.62857143
BCFBBKFF,AD19,Profesional,SI,EHE-EAAD,Femenino,20.525,Local,No,,90,6,1,0.4,0,NO,NO,1,97.5,99,98.33333333
BCFBCBBG,AD19,Profesional,NO,EN,Femenino,19.97777778,Local,No,30,NA,4,1,0.3,0.2,NO,NO,1,89.55555556,90.28571429,90.36363636
BCFBCBCB,AD19,Profesional,SI,EN,Femenino,20.18888889,Local,No,,75,7,1,0,0,NO,NO,1,91.1,91.3,91.5
BCFCCBFD,AD19,Profesional,SI,EN,Femenino,20.43611111,Local,No,,89,7,1,0.35,0.25,NO,NO,1,92.4,95.8,95
BCFCCBFE,AD19,Profesional,SI,EHE-EAAD,Masculino,20.05277778,Local,No,,63,6,1,0,0,NO,NO,1,83.66666667,93.5,88.58333333
BCFCCDEK,AD19,Profesional,SI,EN,Masculino,19.51666667,Local,No,,68,7,1,0.3,0,NO,NO,1,82.8,81,82.55555556
BCFCCDFC,AD19,Profesional,NO,EIC,Masculino,20.61666667,SI: Nacional,No,46,NA,7,1,0,0,NO,NO,1,84.625,90.66666667,87.52777778
BCFCCDFF,AD19,Profesional,SI,EN,Femenino,19.50277778,Local,Sí,,81,7,1,0.25,0.25,NO,NO,1,83.1,90.3,88.16666667
BCFCCDHH,AD19,Profesional,SI,EIC,Masculino,18.8,Local,No,,96,7,1,0.4,0.2,NO,NO,1,93.875,96.88888889,95.72222222
BCFCCECK,AD19,Profesional,SI,EN,Femenino,18.84166667,Local,No,,55,7,0.708333333,0,0,NO,NO,1,73.28571429,75.8,77
BCFCCEFK,AD19,Profesional,SI,EHE-EAAD,Femenino,20.54444444,SI: Nacional,No,,70,7,1,0,0,NO,NO,1,85.5,93.66666667,89.58333333
BCFCCEHF,AD19,Profesional,SI,EAAD-EIC,Masculino,19.79444444,SI: Nacional,No,,79,7,1,0,0,NO,NO,1,87.28571429,75.625,81.47222222
BCFCCEHH,AD19,Profesional,SI,EIC,Masculino,19.88611111,Local,No,,68,7,0.5,0.200000069,0,NO,NO,1,83,87.66666667,85.76190476
BCFCCEHJ,AD19,Profesional,NO,EIC,Femenino,18.86944444,Local,No,44,NA,7,1,0.25,0.25,NO,NO,1,89.5,95.375,92.22222222
BCFCCEHK,AD19,Profesional,NO,EIC,Femenino,18.18888889,SI: Nacional,No,36,NA,6,1,0.2,0.2,NO,NO,1,88.625,96,93.25
BCFCCEIC,AD19,Profesional,SI,EIC,Masculino,18.03888889,Local,No,,88.5,7,1,0.4,0,NO,NO,1,89.375,94.55555556,92.08333333
BCFCCEID,AD19,Profesional,SI,EIC,Masculino,18.63055556,Local,No,,76.5,5,1,0.45,0.25,NO,NO,1,86.125,84.66666667,86.19444444
BCFCCEIE,AD19,Profesional,SI,EN,Femenino,18.52222222,Local,No,,65.5,7,1,0,0,SI,NO,1,82,87.6,84.77777778
BCFCCEIH,AD19,Profesional,SI,EIC,Masculino,18.68611111,Local,No,,81.5,7,1,0.25,0,NO,NO,1,79,85.11111111,82.61764706
BCFCCEII,AD19,Profesional,NO,EN,Femenino,18.98055556,SI: Nacional,No,25,NA,6,1,0,0,NO,NO,1,90.77777778,96.2,93.88888889
BCFCCEIJ,AD19,Profesional,SI,EIC,Masculino,18.14444444,Local,No,,85.5,7,1,0.35,0.25,NO,NO,1,81.14285714,90,86.4375
BCFCCEJB,AD19,Profesional,SI,EIC,Masculino,18.71111111,Local,No,,88.5,6,1,0,0,NO,NO,1,90.75,95.25,93.07692308
BCFCCEJC,AD19,Profesional,SI,EIC,Femenino,18.91388889,Local,No,,84.5,7,1,0.4,0,NO,NO,1,94.625,95.66666667,95.41666667
BCFCCEJD,AD19,Profesional,SI,EN,Femenino,18.09722222,Local,No,,60,7,1,0,0.25,NO,NO,1,70.6,73,70.4
BCFCCEJH,AD19,Profesional,SI,EIC,Masculino,17.96111111,Local,No,,99,7,1,0.5,0,NO,NO,1,97.25,97,97.27777778
BCFCCEJK,AD19,Profesional,SI,EMCS,Masculino,18.11111111,SI: Nacional,No,36,79.5,7,1,0.2,0.2,NO,NO,1,87,87.8,89.55555556
BCFCCEKB,AD19,Profesional,SI,EIC,Masculino,18.87777778,Local,No,,98.5,7,1,0.5,0,NO,NO,1,96.125,97.33333333,97.08333333
BCFCCEKD,AD19,Profesional,SI,EIC,Masculino,18.66111111,Local,No,,80,7,1,0.35,0.25,NO,NO,1,79.625,83.55555556,82.80555556
BCFCCEKE,AD19,Profesional,SI,EN,Femenino,18.66111111,Local,No,,78.5,7,1,0,0,NO,NO,1,86.2,84.4,86.66666667
BCFCCEKF,AD19,Profesional,SI,EIC,Masculino,18.32777778,Local,No,,73,7,1,0.2,0.2,NO,NO,0,79.75,0,84
BCFCCEKH,AD19,Profesional,SI,EN,Masculino,19.97777778,SI: Nacional,No,,79.5,7,0.9375,0,0,NO,NO,1,91,93.36363636,93.16666667
BCFCCEKJ,AD19,Profesional,SI,ECSG,Femenino,18.26388889,SI: Nacional,No,,90,7,1,0.15,0.15,NO,NO,1,93.71428571,92.125,93.19444444
BCFCCEKK,AD19,Profesional,SI,EN,Femenino,18.55833333,Local,No,,92.5,7,1,0.6,0,NO,NO,1,90.4,95.55555556,94.36111111
BCFCCFBB,AD19,Profesional,SI,EHE-EAAD,Femenino,18.22777778,SI: Nacional,No,,85,7,0.666666667,0.250000001,0.250000001,NO,NO,1,91.75,94.4,93.22222222
BCFCCFBC,AD19,Profesional,SI,EIC,Masculino,18.34444444,Local,No,,87,7,1,0.5,0,NO,NO,1,91.625,91.66666667,93.25
BCFCCFBG,AD19,Profesional,SI,EN,Femenino,18.36111111,Local,No,,80.5,7,1,0.4,0.2,NO,NO,1,85.7,94.88888889,92.33333333
BCFCCFBI,AD19,Profesional,SI,EIC,Femenino,18.69166667,Local,No,,91,7,1,0.5,0,NO,NO,1,84.5,94.5,92
BCFCCFBK,AD19,Profesional,SI,EMCS,Femenino,18.04166667,SI: Nacional,No,44,88.5,7,1,0.45,0.25,NO,NO,1,87.77777778,87,90.57142857
BCFCCFCB,AD19,Profesional,SI,EN,Femenino,17.88611111,Local,No,,63,7,1,0.4,0,NO,NO,1,79.9,91.2,86.19444444
BCFCCFCC,AD19,Profesional,SI,EN,Masculino,18.43055556,Local,No,,72,5,1,0.3,0,NO,NO,1,84.2,89.4,88.33333333
BCFCCFCE,AD19,Profesional,SI,EMCS,Femenino,18.28055556,SI: Nacional,No,,79.5,4,1.041666667,0,0,NO,NO,1,84.2,87.44444444,88.7027027
BCFCCFCF,AD19,Profesional,SI,EN,Masculino,17.86666667,Local,No,,81,3,1,0,0.25,NO,NO,1,87.1,89.8,89.02777778
BCFCCFDF,AD19,Profesional,SI,EN,Femenino,18.07777778,Local,No,,71.5,7,1,0.5,0,NO,NO,1,78.5,84.09090909,82.81081081
BCFCCFDG,AD19,Profesional,SI,EIC,Femenino,17.7,Local,No,,96,7,1,0.25,0.25,NO,NO,1,88.125,91.44444444,89.97222222
BCFCCFEB,AD19,Profesional,SI,EN,Femenino,18.34722222,Local,Sin información,,81.5,5,1,0.4,0,NO,NO,1,83.6,88.7,87.58333333
BCFCCFEC,AD19,Profesional,SI,EIC,Masculino,18.66666667,Local,No,,99,7,1,0.7,0,NO,NO,1,98.75,98.875,98.88888889
BCFCCFEF,AD19,Profesional,NO,EIC,Masculino,18.76944444,SI: Nacional,No,44,NA,6,1,0,0,NO,NO,1,92,99,95.80555556
BCFCCFEG,AD19,Profesional,SI,ECSG,Femenino,18.6,SI: Nacional,No,,86,7,1,0.45,0,NO,NO,1,86.85714286,86.57142857,87.77777778
BCFCCFEH,AD19,Profesional,SI,EIC,Femenino,18.46388889,SI: Nacional,No,,93,7,1,0.2,0.2,NO,NO,1,89.125,98,93.91666667
BCFCCFEI,AD19,Profesional,SI,EN,Femenino,18.17222222,Local,Sin información,,61.5,7,1,0.4,0,NO,NO,1,86.7,90.2,89.97222222
BCFCCFFC,AD19,Profesional,SI,EN,Masculino,19.61111111,SI: Nacional,No,,81.5,7,1,0.25,0.25,NO,NO,1,91.2,87.2,89.16666667
BCFCCFFE,AD19,Profesional,SI,EN,Femenino,18.55,Local,No,,98,4,1,0.6,0,NO,NO,1,93,94.9,94.86111111
BCFCCFFG,AD19,Profesional,SI,EIC,Femenino,17.72222222,Local,No,,96,7,1,0.35,0.25,NO,NO,1,93.625,95.22222222,95.05555556
BCFCCFGB,AD19,Profesional,SI,EIC,Masculino,18.69444444,SI: Nacional,No,,70,7,1,0,0,NO,NO,1,54.28571429,81,64.52631579
BCFCCFGF,AD19,Profesional,SI,ECSG,Femenino,18.48055556,Local,Sí,,70,7,1,0,0,NO,NO,1,83,74.75,79.52777778
BCFCCFGH,AD19,Profesional,SI,EIC,Masculino,18.68055556,Local,No,,95.5,7,1,0.5,0.2,NO,NO,1,93.75,97.33333333,95.5
BCFCCFGI,AD19,Profesional,SI,EIC,Masculino,18.47777778,Local,Sí,,77,7,1,0.5,0,NO,NO,1,64.28571429,75.22222222,77.94285714
BCFCCFHD,AD19,Profesional,SI,EHE-EAAD,Femenino,18.15555556,SI: Nacional,No,,82.5,3,1,0.4,0,NO,NO,1,96,93.16666667,94.33333333
BCFCCFHE,AD19,Profesional,SI,EIC,Masculino,18.24722222,Local,No,,77.5,7,1,0.25,0.25,NO,NO,1,78.875,81,79.94871795
BCFCCFHF,AD19,Profesional,SI,EHE-EAAD,Femenino,18.28611111,SI: Nacional,No,,97,6,1,0,0,NO,NO,1,95.75,90.4,93.27272727
BCFCCFHI,AD19,Profesional,SI,EIC,Masculino,18.13333333,Local,No,,72,7,1,0.3,0,NO,NO,1,69.875,75.11111111,73.25641026
BCFCCFHK,AD19,Profesional,SI,EN,Masculino,18.31944444,SI: Nacional,No,,78,7,1,0,0,NO,NO,1,83.1,80.8,82
BCFCCFIB,AD19,Profesional,SI,EN,Masculino,20.05833333,SI: Nacional,No,,89.5,7,1,0,0,NO,NO,1,89.3,87,88.19444444
BCFCCFID,AD19,Profesional,SI,EIC,Masculino,18.63055556,Local,No,,90,7,1,0.6,0,NO,NO,1,87.25,94,90.55555556
BCFCCFIF,AD19,Profesional,SI,EMCS,Masculino,19.45833333,SI: Nacional,No,50,95,7,1,0.5,0,NO,NO,0,91.55555556,0,88.66666667
BCFCCFII,AD19,Profesional,SI,EN,Femenino,18.14722222,Local,No,,72,6,1,0.5,0,NO,NO,1,78.2,90.4,86.44444444
BCFCCFIJ,AD19,Profesional,SI,EIC,Masculino,18.8,Local,No,,95,7,1,0.25,0.25,NO,NO,1,94.625,96,95.77777778
BCFCCFJE,AD19,Profesional,SI,EMCS,Femenino,18.19722222,SI: Nacional,No,,80.5,7,1.041666667,0,0,NO,NO,0,71.875,76.375,79.71428571
BCFCCFJF,AD19,Profesional,SI,EIC,Femenino,18.08611111,SI: Nacional,No,,82,4,1,0,0,NO,NO,1,90.14285714,90.11111111,88.94594595
BCFCCFJI,AD19,Profesional,SI,EN,Femenino,18.83333333,Local,No,,86,7,1,0.45,0.25,NO,NO,1,93.1,93,93.41666667
BCFCCFJJ,AD19,Profesional,SI,EMCS,Masculino,18.80833333,SI: Nacional,No,,90,7,1,0,0,NO,NO,1,84.44444444,85.22222222,88.55555556
BCFCCFKC,AD19,Profesional,SI,EIC,Masculino,17.95277778,Local,No,,82.22646484,7,1,0.4,0,NO,NO,1,69.14285714,76.45454545,76.59459459
BCFCCFKJ,AD19,Profesional,SI,EIC,Femenino,17.63611111,Local,No,,87.5,3,1,0.25,0.25,NO,NO,1,73.125,72.22222222,72.63888889
BCFCCFKK,AD19,Profesional,SI,ECSG,Masculino,20.84722222,SI: Nacional,No,,88.5,7,1,0,0,NO,NO,0,81.71428571,91,85.44444444
BCFCCGBB,AD19,Profesional,SI,EIC,Femenino,18.13055556,Local,No,,96.5,7,1,0.45,0.25,NO,NO,1,90.375,93.5,92.05555556
BCFCCGBC,AD19,Profesional,SI,EIC,Masculino,17.80555556,SI: Nacional,No,,79,7,1,0.1,0.1,NO,NO,1,79.28571429,87.55555556,86.11111111
BCFCCGBG,AD19,Profesional,SI,EIC,Masculino,18.325,SI: Nacional,No,,74.5,7,1,0,0,NO,NO,1,51.33333333,79,61
BCFCCGBH,AD19,Profesional,SI,EIC,Femenino,17.6,Local,No,,88,7,1,0.25,0.25,NO,NO,1,89.125,84.88888889,87.19444444
BCFCCGBI,AD19,Profesional,SI,EN,Femenino,17.76944444,Local,No,,76.5,5,1,0.5,0,NO,NO,1,90.5,92.6,93.41666667
BCFCCGBJ,AD19,Profesional,SI,EIC,Masculino,17.76944444,Local,No,,86.5,5,1,0.25,0.25,NO,NO,1,90.75,95.66666667,94.11111111
BCFCCGBK,AD19,Profesional,SI,EIC,Masculino,18.36666667,Local,No,,91,7,1,0.15,0.15,NO,NO,1,93.125,96.55555556,95.11111111
BCFCCGCC,AD19,Profesional,SI,EIC,Femenino,17.64444444,Local,No,,88,7,1,0.25,0.25,NO,NO,1,89.375,87.25,88.75757576
BCFCCGCD,AD19,Profesional,SI,EIC,Masculino,20.01944444,Local,No,,70.5,7,1,0,0,NO,NO,1,78.16666667,0,79.33333333
BCFCCGCF,AD19,Profesional,SI,EIC,Masculino,18.61666667,Local,Sin información,,81.5,7,1,0.4,0,NO,NO,1,93.125,95,94.36111111
BCFCCGDD,AD19,Profesional,SI,EIC,Masculino,18.90555556,Local,No,,79.5,7,1,0,0.25,NO,NO,1,82,92.88888889,89.19444444
BCFCCGDF,AD19,Profesional,SI,EIC,Femenino,18.59722222,SI: Nacional,No,,84,7,1,0,0,NO,NO,1,83.85714286,86.11111111,84.77777778
BCFCCGEC,AD19,Profesional,SI,EIC,Femenino,18.63888889,Local,No,,85,7,1,0.2,0.2,NO,NO,1,87.875,93.55555556,91.02777778
BCFCCGFI,AD19,Profesional,SI,EIC,Femenino,18.48055556,Local,No,,88.5,6,1,0.35,0.25,NO,NO,1,88.875,94.125,92
BCFCCGGB,AD19,Profesional,SI,EIC,Femenino,18.75277778,Local,No,,62.5,7,1,0,0.25,NO,NO,1,82.71428571,84.77777778,83.83333333
BCFCCGGC,AD19,Profesional,SI,ECSG,Masculino,19.34444444,SI: Nacional,No,,75.5,7,1,0.5,0.25,NO,NO,1,78.42857143,87.625,84.27777778
BCFCCGGE,AD19,Profesional,SI,EIC,Femenino,18.45,Local,No,,99,7,1,0.6,0,NO,NO,1,97.875,99,98.77777778
BCFCCGGK,AD19,Profesional,SI,EN,Masculino,18.38333333,Local,No,,75.5,4,1,0,0,SI,NO,0,82.5,83.7,85.22222222
BCFCCGHD,AD19,Profesional,SI,EN,Masculino,18.54444444,Local,Sin información,,66.5,4,1,0,0,NO,NO,1,80.7,83.1,81.72222222
BCFCCGHH,AD19,Profesional,SI,EN,Masculino,20.01944444,Local,No,,66,7,1,0,0,NO,NO,1,84.7,88,86.91666667
BCFCCGHI,AD19,Profesional,SI,EN,Femenino,18.01388889,Local,Sí,,80,7,1,0.45,0.25,NO,NO,1,95.55555556,96.8,95.75
BCFCCGIE,AD19,Profesional,SI,EIC,Masculino,19.32777778,Local,Sí,,65,7,1,0,0.25,NO,NO,1,77.125,70.77777778,79.38888889
BCFCCGIG,AD19,Profesional,SI,EHE-EAAD,Masculino,19.04444444,SI: Nacional,Sin información,,74.5,7,1,0,0,NO,NO,1,78.66666667,87.5,83.08333333
BCFCCGIH,AD19,Profesional,SI,EHE-EAAD,Masculino,18.34722222,SI: Nacional,No,,82.5,6,0.833333333,0,0.25,NO,NO,1,86.6,88.5,87.63636364
BCFCCGJB,AD19,Profesional,SI,EIC,Masculino,19.29166667,Local,No,,79,7,1,0.2,0.2,NO,NO,1,79.875,93.55555556,87.55555556
BCFCCGJD,AD19,Profesional,SI,EIC,Femenino,19.9,Local,Sí,,76,7,1,0.4,0,NO,NO,1,74.85714286,88.66666667,81.52941176
BCFCCJDD,AD19,Profesional,SI,EIC,Masculino,19.29444444,Local,No,,83,6,1,0.2,0.2,NO,NO,1,84.375,89.375,87.97435897
BCFCCJEG,AD19,Profesional,NO,EN,Masculino,19.18055556,Local,No,40,NA,7,1,0,0.25,NO,NO,1,91.1,93.6,93.36111111
BCFCDBCJ,AD19,Profesional,NO,EN,Femenino,18.625,Local,No,44,NA,3,1,0.2,0,NO,SI,1,92.7,89.55555556,92.16666667
BCFCDBFC,AD19,Profesional,NO,EN,Masculino,19.66111111,Local,No,28,NA,1,1,0.3,0.1,NO,NO,0,0,0,#N/A
BCFCDBKE,AD19,Profesional,NO,EN,Masculino,19.66111111,Local,No,40,NA,1,1,0.4,0.1,NO,NO,1,89.8,92.5,90.69444444
BCFCDCCE,AD19,Profesional,NO,EN,Masculino,19.47777778,Local,No,40,NA,7,1,0.5,0,NO,NO,1,94.3,96.1,96.05555556
BCFCDCCF,AD19,Profesional,NO,EIC,Femenino,18.61666667,SI: Nacional,No,38,NA,6,1,0.25,0.25,NO,NO,0,88.5,0,89.25
BCFCDCFB,AD19,Profesional,NO,EIC,Masculino,18.43611111,Local,Sí,36,NA,6,1,0.4,0,NO,NO,1,92,89.88888889,93.02777778
BCFCDCFD,AD19,Profesional,NO,EIC,Femenino,18.93333333,Local,No,30,NA,1,1,0.4,0,NO,NO,1,90.875,95.75,93.66666667
BCFCDCHK,AD19,Profesional,NO,EIC,Masculino,18.39166667,Local,Sí,46,NA,6,1,0.2,0,NO,SI,1,99.5,99.66666667,99.55555556
BCFCDCJH,AD19,Profesional,NO,EIC,Masculino,18.06666667,Local,No,27,NA,5,1,0.2,0.2,NO,NO,1,89.25,84.125,87.13888889
BCFCDCJJ,AD19,Profesional,NO,EIC,Femenino,18.18888889,Local,No,50,NA,7,1,0.4,0,NO,NO,1,93.875,98.11111111,96.30555556
BCFCDDBJ,AD19,Profesional,NO,EN,Masculino,18.48055556,SI: Nacional,No,50,NA,2,1.041666667,0.350000047,0.249999982,NO,NO,1,92.3,96.44444444,95.13513514
BCFCDDCB,AD19,Profesional,NO,EIC,Femenino,17.74166667,Local,No,42,NA,6,1,0.2,0,NO,SI,1,94.75,98.25,96.94444444
BCFCDDCC,AD19,Profesional,NO,EIC,Femenino,17.88888889,Local,No,40,NA,6,1,0.4,0,NO,NO,0,56.25,0,93.33333333
BCFCDDCF,AD19,Profesional,NO,EN,Femenino,19.28888889,Local,No,36,NA,7,1,0.5,0,NO,NO,1,85.9,92.875,91.6
BCFCDDCI,AD19,Profesional,NO,EN,Masculino,17.77222222,Local,Sin información,31,NA,6,1,0.35,0.25,NO,NO,1,91.9,97.66666667,94.38888889
BCFCDDCJ,AD19,Profesional,NO,EN,Masculino,18.09722222,SI: Nacional,Sí,30,NA,3,1,0.25,0.25,NO,NO,1,60.7,72.875,65.66666667
BCFCDDDB,AD19,Profesional,NO,EN,Femenino,18.33055556,Local,No,23,NA,4,1.166666667,0,0,SI,NO,1,85.15384615,88.08333333,88.7804878
BCFCDDDD,AD19,Profesional,NO,EIC,Masculino,18.55,Local,No,36,NA,6,1,0,0,SI,NO,1,84.125,91.33333333,88.38888889
BCFCDDDE,AD19,Profesional,NO,EIC,Masculino,18.54444444,Local,No,35,NA,3,1.166666667,0.500000033,0,NO,NO,1,90.88888889,94.55555556,92.95238095
BCFCDDEB,AD19,Profesional,NO,EIC,Femenino,18.75,Local,No,46,NA,7,1,0.5,0,NO,NO,1,84.625,91.75,89.08333333
BCFCDDEC,AD19,Profesional,NO,EN,Masculino,18.41666667,Local,No,36,NA,2,1,0.6,0,NO,NO,1,85.6,85.8,86.38888889
BCFCDDED,AD19,Profesional,NO,EIC,Masculino,18.37222222,Local,No,30,NA,6,1,0.5,0,NO,NO,1,95.625,96.125,96.13888889
BCFCDDEF,AD19,Profesional,NO,EIC,Masculino,18.45833333,Local,Sí,36,NA,4,1,0.2,0,NO,SI,1,99.25,99.44444444,99.43589744
BCFCDDFF,AD19,Profesional,NO,EIC,Femenino,18.53055556,Local,No,23,NA,6,1,0,0,SI,NO,1,89,90.375,89.91891892
BCFCDDFG,AD19,Profesional,NO,EN,Femenino,18.21111111,Local,No,46,NA,3,1,0.4,0,NO,NO,1,88.6,91.4,90.72222222
BCFCDDFH,AD19,Profesional,NO,EIC,Masculino,17.91111111,SI: Nacional,No,40,NA,1,1,0.5,0,NO,NO,1,94.5,96.375,95.69444444
BCFCDDFJ,AD19,Profesional,NO,EIC,Masculino,18.19444444,Local,No,23,NA,2,1.166666667,0.500000033,0,NO,NO,1,95.44444444,97.22222222,96.61904762
BCFCDDFK,AD19,Profesional,NO,EIC,Masculino,17.87777778,Local,No,40,NA,4,1,0.5,0,NO,NO,1,92.875,92.2,92.69230769
BCFCDDGF,AD19,Profesional,NO,EIC,Femenino,19.70277778,Local,No,36,NA,6,1,0.3,0.2,NO,NO,0,57.57142857,0,57.9375
BCFCDDGG,AD19,Profesional,NO,EIC,Femenino,17.85555556,Local,No,38,NA,6,1,0.2,0,NO,SI,1,93.125,93,93.75
BCFCDDGJ,AD19,Profesional,NO,EIC,Femenino,17.93611111,SI: Nacional,Sí,40,NA,1,1,0.5,0,NO,NO,1,82.33333333,88.875,86.96875
BCFCDDHB,AD19,Profesional,NO,EN,Femenino,18.21944444,Local,No,36,NA,7,1,0.5,0.2,NO,NO,1,84,86.6,88.66666667
BCFCDDHC,AD19,Profesional,NO,EIC,Femenino,18.47777778,Local,Sí,34,NA,3,1,0.5,0,NO,NO,1,90.125,98.66666667,92.69565217
BCFCDDHH,AD19,Profesional,NO,EIC,Masculino,18.125,Local,No,40,NA,6,1,0.2,0.2,NO,NO,1,94.125,95.25,95.16666667
BCFCDDHJ,AD19,Profesional,NO,EIC,Femenino,18.475,Local,No,36,NA,5,1,0.5,0,NO,NO,1,85.875,93.125,90.17647059
BCFCDDIC,AD19,Profesional,NO,EN,Masculino,19.72777778,Local,No,31,NA,6,1,0.5,0,NO,NO,1,91.8,94.3,93.25
BCFCDDIE,AD19,Profesional,NO,EN,Femenino,20.05277778,Local,No,40,NA,5,0.833333333,0,0.249999977,NO,NO,1,85,83.1,84.4
BCFCDDIF,AD19,Profesional,NO,EN,Femenino,18.43888889,SI: Extranjero,No,40,NA,6,1,0,0,NO,NO,1,92.6,93.9,93.94444444
BCFCDDIG,AD19,Profesional,NO,EIC,Masculino,18.35833333,Local,Sí,19,NA,4,1.166666667,0,0.250000016,NO,NO,1,70.5,80.22222222,77.475
BCFCDDJE,AD19,Profesional,NO,EN,Masculino,19.43611111,Local,No,40,NA,6,1,0.9,0,NO,NO,1,76.11111111,85,81.20588235
BCFCDDJF,AD19,Profesional,NO,EIC,Masculino,17.85,Local,No,33,NA,3,1,0.2,0.2,NO,NO,1,81.75,89.22222222,85.77777778
BCFCDDJI,AD19,Profesional,NO,EN,Femenino,19.80277778,Local,No,42,NA,6,1,0,0,NO,NO,1,73.22222222,85.22222222,80
BCFCDDJJ,AD19,Profesional,NO,EIC,Masculino,18.57222222,Local,No,36,NA,6,1,0,0.25,NO,NO,1,75.28571429,74.57142857,73.67647059
BCFCDDKC,AD19,Profesional,NO,EIC,Masculino,19.75,Local,No,31,NA,6,1,0,0,NO,NO,1,92.375,90.88888889,92.75
BCFCDDKJ,AD19,Profesional,NO,EN,Masculino,18.40277778,Local,No,35,NA,6,1,0,0,NO,NO,1,74.5,74.16666667,74.53333333
BCFCDDKK,AD19,Profesional,NO,EN,Femenino,18.43888889,Local,No,34,NA,6,1,0,0,NO,NO,1,85.8,86,87.80555556
BCFCDEBB,AD19,Profesional,NO,EN,Masculino,17.81944444,Local,No,26,NA,3,1,0.3,0,NO,NO,1,82.7,82.3,82.55555556
BCFCDEBD,AD19,Profesional,NO,EIC,Masculino,20.5,Local,No,40,NA,6,0.5,0,0,NO,NO,1,94,88.75,90.68965517
BCFCDEBE,AD19,Profesional,NO,EN,Masculino,20.18333333,Local,No,26,NA,7,1,0,0,NO,NO,1,77,88.1,81.25
BCFCDEBF,AD19,Profesional,NO,EN,Masculino,18.66666667,Local,No,26,NA,7,1,0.5,0,NO,NO,1,85.2,89.4,88.33333333
BCFDCHGI,AD19,Profesional,SI,EIC,Femenino,20.86666667,SI: Nacional,No,,87,6,1,0.2,0,NO,NO,1,79.75,94.33333333,87.33333333
BCFDCKHB,AD19,Profesional,NO,EIC,Masculino,23.11944444,Local,No,17,NA,6,1,0,0,NO,NO,1,75.875,85.22222222,80.21052632
BCFDDDGB,AD19,Profesional,SI,EN,Femenino,20.41388889,SI: Nacional,No,,81,6,0.666666667,0,0,NO,NO,0,88,0,92.5
BCFDDGBC,AD19,Profesional,SI,EIC,Masculino,18.97777778,Local,No,,85,4,0.666666667,0,0,NO,NO,1,90.5,95,92.30769231
BCFDDGED,AD19,Profesional,SI,EN,Femenino,20.57222222,Local,No,,67.5,7,0.666666667,0,0.25,NO,NO,1,88.125,93.25,92.1
BCFDDGGG,AD19,Profesional,SI,ECSG,Femenino,19.45277778,SI: Nacional,No,,75.5,7,0.833333333,0,0,NO,NO,0,80.83333333,0,79.94444444
BCFDDGHE,AD19,Profesional,SI,ECSG,Masculino,19.7,Local,No,,70,4,1,0,0,NO,NO,1,85.28571429,85.25,86.7
BCFDDGJI,AD19,Profesional,SI,EHE-EAAD,Masculino,20.46111111,Local,No,,73.5,7,1,0,0,NO,NO,0,72,0,72
BCFDDHFK,AD19,Profesional,SI,EHE-EAAD,Femenino,19.67777778,Local,No,,92.5,7,1,0,0,NO,NO,0,96,0,96
BCFDDHKJ,AD19,Profesional,SI,EN,Masculino,19.31666667,Local,No,,67,1,1,0,0,NO,NO,1,87,90,88.44444444
BCFDDIFF,AD19,Profesional,SI,EIC,Femenino,18.65555556,SI: Nacional,No,,96,7,1,0.5,0,NO,NO,1,88.25,98.22222222,92.94444444
BCFDDIGC,AD19,Profesional,SI,EIC,Masculino,19.60277778,Local,No,,80.5,7,1,0,0,NO,NO,1,92.28571429,91.55555556,90.83333333
BCFDDIHJ,AD19,Profesional,SI,EIC,Masculino,19.76111111,Local,No,,87,7,1,0.25,0.25,NO,NO,1,89,94.33333333,91.77777778
BCFDDIKK,AD19,Profesional,SI,EIC,Masculino,18.08611111,Local,No,,90,7,1,0.6,0.1,NO,NO,1,91.25,97.55555556,94.72222222
